"CNT","CNTSCHID","CNTSTUID","x","female","PV1READ","PV2READ","W_FSTUWT","W_FSTURWT1","W_FSTURWT2","W_FSTURWT3","W_FSTURWT4"
"SYN","sch01","stu01",-1.4,1,398,402,1,0.82,1.18,1.05,0.95
"SYN","sch01","stu02",-1.1,0,410,408,1.08,1.28,0.91,1.02,1.17
"SYN","sch01","stu03",-0.7,1,423,427,0.94,1.01,0.85,1.12,0.93
"SYN","sch01","stu04",-0.4,0,437,435,1.12,1.09,1.31,0.98,1.24
"SYN","sch02","stu05",-0.1,1,451,454,1.03,0.96,1.12,1.25,1.01
"SYN","sch02","stu06",0.2,0,466,463,1.19,1.35,1.02,1.14,1.31
"SYN","sch02","stu07",0.5,0,480,483,0.91,0.84,0.76,0.87,1.07
"SYN","sch02","stu08",0.8,1,494,492,1.25,1.42,1.5,1.3,1.08
"SYN","sch03","stu09",1,1,507,511,1.1,1.21,0.99,1.34,0.88
"SYN","sch03","stu10",1.3,0,522,519,0.98,0.89,1.08,1.03,1.19
"SYN","sch03","stu11",1.6,1,536,539,1.15,1.29,1.04,1.09,0.97
"SYN","sch03","stu12",1.9,0,550,548,1.06,1,1.17,1.21,1.11
